Commodity Code,Trade Value (US$)
1,2789
2,247970
3,7042644
4,327858
5,23
7,21792
8,305953
9,15023
10,35899
11,16502
12,488643
13,3143
14,186
15,130094
16,294518
17,111312
18,69880
19,171784
20,40227
21,1253367
22,53751
23,115399
25,1575799
26,110349
27,5386514796
28,225188
29,1098713327
30,395154
32,328214
33,195011
34,182990
35,32855
36,45495
37,1055
38,4287426
39,352833
40,569281
41,65242
42,35397
44,705518
46,2229
47,125945
48,487049
49,37019
52,396
53,0
54,62
55,3990
56,6065
57,42030
58,371
59,1007
60,11813
61,3928175
62,2564794
63,476726
64,57322
65,1431
66,1356
68,50033
69,71071
70,104469
71,12113381
72,2876135
73,10062278
74,158029
75,2455
76,1851327
78,17
79,94268
81,1123
82,2421373
83,190005
84,23658745
85,7273240
86,685970
87,4999359
88,7864299
89,5359770
90,13202184
91,73294
92,6519
94,1083116
95,47876
96,10058
97,953
99,1083988
106,2789
202,96532
204,150761
210,677
302,274564
303,954474
304,1250
306,5753896
307,58459
401,24556
402,130504
403,9278
405,66810
406,95979
407,347
409,381
511,23
701,599
703,4346
709,4889
710,10026
711,1738
712,115
713,76
801,5
802,5665
804,95451
806,69
807,197303
813,7458
901,244
902,13135
910,1643
1005,11475
1006,24320
1008,104
1101,14139
1102,800
1104,1526
1106,36
1202,13
1212,488630
1302,3143
1401,87
1404,99
1504,16
1509,215
1511,1671
1512,52
1515,23992
1516,1
1517,93252
1518,10893
1601,2556
1602,245683
1603,15096
1604,19127
1605,12054
1701,637
1702,4749
1704,105925
1801,660
1805,738
1806,68481
1901,12111
1902,14091
1904,9037
1905,136545
2001,113
2002,347
2003,2743
2004,500
2005,8534
2007,99
2008,26200
2009,1688
2101,11125
2102,1819
2103,43259
2104,3737
2105,33
2106,1193391
2201,11403
2202,30873
2203,52
2209,11423
2308,6
2309,115392
2501,5320
2503,1515670
2505,1965
2508,37605
2516,2
2517,164
2519,521
2523,13665
2525,666
2530,217
2617,3
2620,110345
2707,123218289
2709,1273034900
2710,1557617421
2711,2432634038
2712,14
2713,10131
2804,40510
2811,117
2820,2
2821,7
2827,147785
2833,10
2836,206
2844,8740
2845,12581
2853,15226
2901,34560300
2902,913730026
2903,799
2905,144260149
2918,332
2922,71
2924,1012306
2930,20024
2931,5001971
2932,297
2936,127
2942,126918
3002,987
3004,325091
3005,26961
3006,42114
3204,313739
3208,1177
3209,5215
3210,152
3214,7140
3215,789
3301,226
3302,782
3304,181765
3305,7178
3306,45
3307,5013
3401,132132
3402,39029
3403,4001
3404,115
3405,7654
3406,55
3503,434
3505,22771
3506,9650
3604,45495
3701,99
3704,376
3705,181
3706,72
3707,325
3808,235417
3810,11366
3811,463
3812,213276
3814,91
3815,2919883
3819,7165
3820,533
3822,1800
3823,18831
3824,875204
3825,3390
3903,191
3905,49
3906,110
3907,202
3909,20
3910,504
3911,34
3912,65
3913,3664
3915,8694
3917,74151
3918,27446
3919,4074
3920,366
3921,293
3922,247
3923,26915
3924,11701
3925,3547
3926,190550
4004,51
4008,224
4009,156823
4010,976
4011,64964
4012,89521
4013,72
4014,4
4015,68391
4016,188253
4101,64489
4115,753
4201,3635
4202,30422
4203,596
4205,743
4409,629881
4412,23
4414,227
4415,760
4418,73214
4419,1350
4420,59
4421,1
4601,1619
4602,609
4707,125945
4802,498
4803,13
4804,800
4805,1448
4808,2
4810,2178
4811,12006
4814,72
4816,308
4817,24498
4818,45682
4819,41970
4820,1276
4823,356292
4901,19733
4902,1179
4904,3
4905,93
4906,39
4907,5545
4910,1655
4911,8768
5204,0
5208,2
5209,7
5212,386
5306,0
5407,62
5512,5
5514,3768
5515,217
5601,482
5602,669
5603,673
5607,3023
5608,1216
5609,0
5702,9
5703,13137
5704,3515
5705,25367
5806,333
5807,28
5810,8
5903,641
5906,54
5907,2
5909,14
5911,295
6003,6793
6006,5019
6101,8077
6102,813
6103,63407
6104,837614
6105,421004
6106,201808
6107,44214
6108,38034
6109,1610926
6110,62697
6111,198876
6112,125337
6114,256977
6115,87
6117,58298
6201,411
6203,105663
6204,383204
6205,196734
6206,716100
6207,37693
6208,27340
6209,1025026
6210,18172
6211,49896
6212,222
6214,4303
6216,23
6217,2
6301,1065
6302,2182
6303,19012
6304,5
6307,454439
6309,21
6401,15076
6402,2167
6403,11039
6404,22624
6405,6414
6501,3
6504,2
6505,582
6506,763
6507,79
6601,1356
6801,398
6802,17037
6804,2896
6805,314
6806,25331
6808,869
6809,746
6810,23
6814,72
6815,2343
6901,4
6904,1067
6905,5965
6907,60133
6909,173
6910,434
6911,466
6912,2631
6914,193
7002,75
7005,26
7006,444
7007,51794
7009,111
7010,5
7013,1098
7017,5563
7018,34376
7019,10484
7020,489
7108,11712816
7113,351438
7117,49125
7204,2816307
7205,2
7210,7812
7214,22813
7216,24181
7218,353
7219,796
7222,25
7225,558
7226,724
7228,2558
7301,640
7302,57
7303,5661
7304,801573
7305,1404
7306,6346751
7307,656550
7308,224178
7309,133046
7310,37973
7311,472660
7312,61995
7313,5143
7314,25746
7315,15689
7316,9260
7317,326653
7318,38194
7319,3
7320,2048
7321,21067
7322,47
7323,12794
7324,4776
7325,1064
7326,857291
7404,144931
7407,4198
7412,106
7413,850
7415,4271
7419,3671
7507,2455
7602,289774
7604,3441
7606,117
7609,1231
7610,1277937
7611,259451
7613,173
7615,732
7616,18468
7804,17
7903,51259
7907,43008
8108,1123
8201,38
8202,1173
8203,5998
8204,20974
8205,173755
8206,808
8207,2097677
8208,109628
8209,6815
8211,3107
8213,139
8214,1121
8215,134
8301,3594
8302,5251
8304,785
8305,161
8306,58
8307,9187
8308,7
8309,54
8310,9294
8311,161609
8402,10991
8406,362
8407,204286
8408,67892
8409,962818
8410,22598
8411,2193661
8412,156010
8413,1919808
8414,1264611
8415,2291706
8417,217
8418,87248
8419,35778
8421,232748
8423,34461
8424,364159
8425,774757
8426,738356
8427,28992
8428,292234
8430,2752638
8431,3380814
8432,3839
8433,2789
8435,8874
8436,43
8438,891
8441,12677
8443,27113
8450,16708
8451,3459
8452,372
8457,5433
8458,362
8459,169056
8460,14686
8461,156780
8462,3930
8463,3911
8465,249
8466,163173
8467,7401
8468,1038
8470,583
8471,1171046
8472,17681
8473,219614
8474,100561
8476,206
8477,289
8479,2203517
8480,1882
8481,1320720
8482,45014
8483,75450
8484,66410
8487,15816
8501,314161
8502,221435
8503,489312
8504,180489
8505,16157
8506,247308
8507,570208
8508,4559
8509,3300
8510,1475
8511,537575
8512,143
8513,1009
8514,5442
8515,38642
8516,41702
8517,439086
8518,227814
8519,3295
8521,1139
8522,36
8523,10237
8525,709
8526,1599
8527,51455
8528,492385
8529,7628
8530,1493
8531,5239
8532,14147
8533,88
8534,8495
8535,17201
8536,82677
8537,1740247
8538,425640
8539,23608
8540,3393
8541,3744
8542,1529
8543,510384
8544,119433
8547,91
8548,407509
8607,108
8609,685862
8701,82374
8703,243738
8704,269378
8705,340484
8708,3238380
8709,7
8711,42265
8712,1091
8714,4470
8716,777168
8802,766063
8803,7095695
8805,2540
8903,112690
8904,239063
8905,4944392
8906,4966
8907,58657
9002,60729
9003,955
9004,266973
9005,34606
9006,10453
9007,12207
9010,1350
9011,4521
9013,362689
9014,475432
9015,3346498
9017,22991
9018,183476
9019,3786383
9020,26032
9021,239280
9022,68206
9023,703601
9024,720731
9025,81309
9026,407690
9027,536404
9028,5234
9029,61749
9030,387288
9031,1105216
9032,213775
9033,76391
9101,64575
9102,8299
9105,332
9106,59
9108,7
9113,20
9202,4419
9205,1811
9206,108
9209,181
9401,22652
9402,14890
9403,48429
9404,905547
9405,82287
9406,9308
9503,40357
9504,663
9505,702
9506,5490
9507,604
9508,57
9603,6343
9606,21
9608,879
9609,47
9615,26
9619,2739
9701,833
9703,120
9999,1083988
10619,1267
10690,1521
20230,96532
20410,3986
20442,146774
21020,561
21099,115
30213,84688
30232,189875
30312,20289
30313,29339
30326,46566
30329,2050
30342,18963
30343,322205
30349,3632
30354,2108
30355,3039
30359,10598
30363,8867
30389,10424
30391,7844
30399,468546
30439,21
30487,1228
30612,57
30614,378
30617,1528606
30631,4851
30633,3161
30636,3441808
30695,775032
30712,1130
30721,8374
30731,5686
30742,13506
30743,158
30752,28628
30771,974
40110,23475
40120,818
40140,260
40150,1
40229,122335
40299,8169
40310,2950
40390,6328
40510,12129
40590,54680
40610,292
40630,5148
40690,90538
40729,347
40900,381
51199,23
70190,599
70310,4346
70960,253
70999,4636
71010,962
71021,405
71029,8294
71090,363
71190,1738
71220,115
71360,76
80119,5
80222,5665
80410,90732
80440,4718
80620,69
80719,197303
81350,7458
90112,54
90121,133
90122,56
90210,111
90220,8989
90240,4035
91091,1537
91099,106
100510,11475
100630,24320
100829,104
110100,14139
110290,800
110412,600
110429,925
110620,36
120230,1
120242,11
121221,64703
121229,423926
130219,3140
130239,2
140110,87
140490,99
150430,16
150990,215
151190,1671
151229,52
151590,23992
151620,1
151710,79541
151790,13710
151800,10893
160100,2556
160249,2573
160250,242768
160290,341
160300,15096
160411,5227
160413,4067
160414,5367
160416,21
160419,26
160420,4417
160510,11722
160521,207
160529,124
170199,637
170219,182
170220,1556
170290,3010
170410,1543
170490,104381
180100,660
180500,738
180610,2025
180620,668
180631,54
180632,53373
180690,12358
190110,326
190120,2890
190190,8894
190219,11031
190230,3060
190410,64
190420,964
190490,8007
190531,2287
190540,7663
190590,126594
200190,113
200290,347
200310,2743
200410,99
200490,401
200520,2379
200559,249
200570,675
200580,5090
200599,139
200799,99
200811,19602
200819,5879
200897,21
200899,696
200949,339
200969,34
200981,79
200989,1103
200990,130
210111,7041
210112,3867
210120,215
210220,4
210230,1815
210310,384
210390,42875
210410,3737
210500,33
210610,1000
210690,1192390
220110,1517
220190,9885
220210,13007
220291,4071
220299,13794
220300,52
220900,11423
230800,6
230910,13162
230990,102229
250100,5320
250300,1515670
250590,1965
250810,37598
250840,7
251611,2
251741,164
251910,198
251990,322
252310,1939
252321,1285
252329,10431
252390,9
252510,666
253090,217
261790,3
262060,10866
262099,99479
270710,3525919
270740,113
270750,105017379
270799,14674878
270900,1273034900
271012,612596948
271019,945019981
271020,466
271099,25
271111,2159176979
271113,40055895
271119,233401163
271290,14
271311,10
271312,10121
280469,40510
281122,117
282090,2
282110,7
282710,46779
282739,86990
282749,13324
282751,690
283322,2
283330,7
283630,99
283650,106
284440,8740
284590,12581
285390,15226
290110,28815426
290122,5744752
290129,121
290211,6445944
290220,213358406
290230,43181
290243,693882495
290319,799
290511,144182219
290512,24764
290519,48159
290559,5006
291812,34
291814,298
292219,42
292250,28
292429,1012306
293090,20024
293190,5001971
293220,297
293627,19
293629,107
294200,126918
300212,42
300230,0
300290,943
300410,22
300420,10693
300432,24
300450,206008
300490,108342
300510,121
300590,26839
300620,7921
300630,159
300640,62
300650,33963
300692,7
320419,313739
320820,826
320890,351
320990,5215
321000,152
321410,6302
321490,838
321511,108
321590,680
330129,226
330210,782
330410,5
330420,1
330491,394
330499,181363
330510,59
330590,7118
330620,44
330690,0
330720,19
330730,3
330741,5
330790,4984
340111,24120
340130,108012
340220,304
340290,38725
340319,1112
340399,2889
340490,115
340510,52
340590,7602
340600,55
350300,434
350510,68
350520,22703
350610,173
350699,9476
360490,45495
370199,99
370400,376
370500,181
370690,72
370790,325
380894,224125
380899,11291
381010,1662
381090,9703
381190,463
381231,2308
381239,210968
381400,91
381512,99
381519,193803
381590,2725980
381900,7165
382000,533
382200,1800
382319,18831
382440,12722
382450,7
382478,189
382479,244
382499,862041
382590,3390
390390,191
390599,49
390690,110
390730,202
390950,20
391000,504
391190,34
391239,65
391390,3664
391590,8694
391710,2963
391729,57
391731,21981
391732,682
391733,36
391739,3352
391740,45076
391810,25176
391890,2269
391910,1768
391990,2306
392071,72
392099,293
392114,278
392190,14
392290,247
392310,3456
392321,378
392329,446
392330,9859
392340,14
392350,2664
392390,10095
392410,4430
392490,7271
392510,1806
392530,3
392590,1737
392610,3546
392620,2253
392640,123
392690,184628
400400,51
400829,224
400911,3636
400912,17871
400922,78428
400931,6802
400932,1214
400941,1789
400942,47079
401031,7
401033,28
401034,730
401039,210
401110,29594
401120,637
401130,33660
401190,1072
401211,4346
401212,3622
401213,2226
401219,115
401220,73892
401290,5317
401320,72
401490,4
401511,19635
401519,48715
401590,40
401610,3
401691,4670
401692,15
401693,80559
401694,85333
401695,9511
401699,8159
410120,64489
411520,753
420100,3635
420211,1094
420219,1105
420221,4183
420222,3929
420229,17533
420231,289
420239,941
420291,212
420292,73
420299,1059
420329,24
420330,572
420500,743
440929,629881
441299,23
441400,227
441520,760
441820,12992
441899,60222
441911,28
441912,1321
442010,15
442090,43
442191,1
460199,1619
460219,3
460290,606
470730,65
470790,125879
480220,491
480258,4
480269,2
480300,13
480431,800
480525,1448
480890,2
481013,72
481014,0
481029,1
481031,2104
481110,11588
481141,405
481190,11
481420,72
481690,308
481710,219
481720,17
481730,24261
481810,308
481820,6729
481890,38644
481910,41636
481920,325
481950,1
481960,7
482010,145
482020,15
482090,1115
482320,30
482340,12279
482369,2280
482370,341688
482390,12
490199,19733
490210,1108
490290,70
490400,3
490591,86
490599,6
490600,39
490700,5545
491000,1655
491110,30
491191,0
491199,8737
520419,0
520819,2
520959,7
521215,140
521225,246
530620,0
540794,62
551291,5
551412,3768
551599,217
560129,482
560229,9
560290,659
560394,673
560749,109
560750,1699
560790,1215
560811,1032
560819,32
560890,151
560900,0
570239,9
570320,380
570330,12746
570390,10
570490,3515
570500,25367
580610,333
580790,28
581099,8
590390,641
590610,54
590700,2
590900,14
591110,12
591190,283
600390,6793
600690,5019
610120,981
610190,7095
610220,430
610290,383
610310,36
610322,336
610332,9016
610339,38248
610342,10887
610349,4883
610419,132
610422,6067
610432,4526
610439,692095
610442,6847
610449,9953
610459,280
610462,87933
610469,29777
610510,82410
610590,338594
610610,13767
610690,188041
610711,21
610719,26485
610721,8423
610729,9283
610831,97
610839,5336
610899,32600
610910,931438
610990,679487
611020,4479
611030,100
611090,58117
611120,120622
611190,78253
611220,123353
611249,1983
611420,239
611490,256738
611510,69
611529,17
611710,58196
611780,101
620119,3
620199,407
620312,13
620319,25994
620332,997
620339,48846
620342,19
620349,29791
620412,7
620419,172
620422,7
620429,1659
620439,74463
620442,14894
620443,2723
620449,98869
620452,182
620462,46
620469,190178
620520,4787
620590,191946
620620,11
620630,21543
620690,694545
620719,12922
620729,11984
620799,12787
620829,11312
620899,16027
620920,777108
620930,2311
620990,245605
621010,1007
621020,10367
621030,6716
621050,81
621132,1815
621133,820
621139,12773
621142,1405
621143,32860
621149,220
621210,197
621230,7
621290,18
621410,9
621490,4293
621600,23
621710,2
630120,7
630190,1057
630221,608
630222,28
630231,1521
630291,23
630319,304
630399,18708
630411,5
630720,73251
630790,381187
630900,21
640192,15
640199,15061
640219,833
640291,342
640299,991
640320,119
640340,391
640351,6
640359,724
640399,9797
640411,18633
640419,3991
640590,6414
650100,3
650400,2
650500,582
650610,387
650699,376
650700,79
660110,50
660191,1086
660199,219
680100,398
680210,1
680221,5586
680223,711
680291,1642
680293,8993
680299,100
680410,1416
680421,417
680422,233
680430,828
680530,314
680610,25331
680800,869
680919,72
680990,673
681019,1
681099,21
681410,72
681599,2343
690100,4
690410,1067
690590,5965
690721,37359
690723,736
690730,7
690740,22031
690911,173
691090,434
691110,31
691190,434
691200,2631
691490,193
700231,52
700239,23
700521,26
700600,444
700711,51586
700719,99
700721,108
700910,78
700992,32
701090,5
701337,43
701391,202
701399,851
701710,11
701790,5551
701810,34376
701939,52
701990,10432
702000,489
710813,11712816
711311,24712
711319,326327
711320,398
711711,514
711719,48611
720429,702079
720430,1074663
720449,1039564
720521,2
721030,149
721041,2948
721090,4714
721410,139
721430,22674
721632,11011
721633,9548
721699,3622
721891,353
721990,796
722230,25
722519,558
722699,724
722810,2015
722870,543
730120,640
730290,57
730300,5661
730411,151629
730419,65324
730422,58733
730423,121308
730424,190
730429,66801
730439,195
730441,5707
730449,8067
730451,256891
730459,1085
730490,65637
730590,1404
730611,2936
730619,98497
730629,5148361
730630,884042
730650,92427
730690,120486
730711,691
730719,20007
730721,8019
730722,871
730723,422
730729,50077
730792,49146
730799,527314
730810,24546
730830,2551
730840,5488
730890,191591
730900,133046
731010,18604
731021,562
731029,18806
731100,472660
731210,50002
731290,11993
731300,5143
731442,25036
731449,709
731519,310
731581,520
731589,11560
731590,3298
731600,9260
731700,326653
731812,1055
731813,336
731814,21
731815,15462
731816,2558
731819,454
731821,1154
731822,5190
731823,27
731824,4501
731829,7430
731990,3
732020,241
732090,1806
732111,18742
732119,144
732181,1159
732189,72
732190,949
732219,47
732391,872
732393,11717
732399,204
732410,4607
732429,79
732490,89
732599,1064
732620,8788
732690,848503
740400,144931
740710,4198
741210,76
741220,30
741300,850
741529,726
741533,3501
741539,43
741999,3671
750712,1970
750720,485
760200,289774
760410,1754
760421,1526
760429,160
760692,117
760900,1231
761010,1262872
761090,15065
761100,259451
761300,173
761510,474
761520,257
761610,8
761699,18459
780411,17
790390,51259
790700,43008
810890,1123
820110,23
820130,15
820299,1173
820320,5214
820340,784
820411,8720
820412,8130
820420,4124
820520,119
820530,10
820540,410
820551,1065
820559,121927
820570,8182
820590,42037
820600,808
820713,48802
820719,636634
820720,621
820730,416
820750,803134
820760,4360
820770,183260
820790,420445
820820,2600
820890,107028
820900,6815
821191,2999
821193,78
821195,29
821300,139
821410,132
821420,921
821490,66
821599,134
830110,130
830130,36
830140,2551
830150,609
830170,266
830210,1011
830220,72
830241,288
830242,1226
830249,11
830250,2640
830400,785
830520,17
830590,143
830629,15
830630,43
830710,9088
830790,99
830890,7
830990,54
831000,9294
831110,117013
831120,35083
831130,9489
831190,23
840212,10991
840690,362
840710,22924
840721,145465
840729,34483
840733,1195
840734,217
840810,14332
840820,36
840890,53524
840910,201509
840991,496676
840999,264632
841090,22598
841182,1022832
841191,591633
841199,579196
841210,5131
841221,11066
841229,92082
841231,1034
841239,144
841280,2680
841290,43871
841311,91
841319,171545
841320,2807
841330,126771
841340,21862
841350,873649
841360,387426
841370,16193
841381,192376
841382,49967
841391,77116
841410,1623
841420,1282
841430,30580
841440,43047
841451,272681
841459,211009
841460,2553
841480,49401
841490,652431
841510,3396
841590,2288310
841720,217
841810,9450
841830,8567
841840,35111
841850,1418
841869,30236
841899,2463
841911,11774
841931,231
841939,18
841950,9897
841989,13493
841990,362
842112,260
842119,125
842121,12256
842123,1791
842129,165535
842131,1804
842139,17322
842191,8044
842199,25606
842310,246
842320,27172
842330,388
842381,4212
842389,2252
842390,188
842410,6433
842420,72
842430,8
842441,2508
842482,21
842489,1950
842490,353164
842519,5825
842531,4926
842539,734030
842542,17943
842549,12031
842611,58783
842612,11707
842619,48066
842620,14488
842630,22167
842649,583142
842720,362
842790,28630
842810,554
842820,44
842839,19414
842890,272219
843010,10866
843049,2741772
843110,1425
843120,2960
843131,598
843139,926310
843141,642206
843143,1778398
843149,28914
843210,2389
843242,1448
843280,0
843311,181
843320,2607
843510,8874
843699,43
843810,543
843850,144
843880,130
843890,72
844110,12677
844313,100
844319,10
844331,12920
844332,1765
844339,85
844391,192
844399,12038
845011,16708
845180,3459
845210,216
845229,155
845720,5433
845899,362
845929,825
845941,2173
845961,166058
846023,108
846029,396
846031,14182
846140,3880
846150,152899
846221,3292
846229,579
846291,57
846310,3911
846593,249
846610,59816
846691,88487
846692,1140
846693,13728
846719,3626
846721,583
846729,1068
846781,155
846789,36
846791,217
846792,47
846799,1666
846820,1038
847010,3
847050,579
847130,27971
847141,11796
847149,3891
847150,1082946
847160,1104
847170,36736
847180,108
847190,6491
847290,17681
847330,218645
847340,961
847350,7
847410,17743
847431,44013
847480,36221
847490,2582
847689,206
847790,289
847920,1
847940,420
847950,1106
847979,123
847981,2565
847982,13873
847989,1534732
847990,650695
848030,553
848071,1212
848079,115
848110,3733
848120,2597
848130,8556
848140,187970
848180,833187
848190,284674
848210,43678
848291,433
848299,903
848310,29069
848330,19073
848340,7453
848350,16446
848360,205
848390,3201
848410,10667
848420,25714
848490,30028
848710,7171
848790,8644
850110,3866
850120,11285
850131,251587
850132,39452
850134,86
850140,86
850152,7795
850212,9650
850213,75621
850220,133045
850239,3117
850300,489312
850410,6753
850421,1869
850422,2133
850431,365
850440,89300
850450,20
850490,80047
850511,56
850519,6001
850590,10099
850610,41655
850650,87803
850660,112083
850680,4592
850690,1173
850710,87217
850720,579
850750,21
850760,50921
850780,402331
850790,29135
850819,3120
850860,551
850870,887
850940,2889
850980,378
850990,32
851010,1463
851030,11
851110,856
851130,497
851140,28
851150,534296
851190,1896
851220,34
851240,108
851310,741
851390,268
851430,1680
851440,3761
851519,20469
851529,293
851539,1722
851580,6015
851590,10142
851610,8867
851621,72
851629,190
851631,23
851632,7
851640,1838
851650,939
851660,15155
851671,991
851672,5601
851679,1730
851680,5241
851690,1041
851711,289
851712,179171
851762,37711
851769,103133
851770,118779
851810,949
851821,17052
851822,28
851829,36
851830,204821
851840,2013
851850,3
851890,2908
851920,11
851981,2281
851989,1001
852190,1139
852290,36
852321,0
852329,1575
852341,7160
852349,82
852351,704
852352,384
852380,329
852550,273
852580,436
852610,1013
852691,586
852713,11
852719,28
852729,51202
852791,15
852799,196
852849,6086
852852,33931
852859,388019
852869,63781
852872,567
852910,1510
852990,6117
853080,1493
853110,130
853120,298
853190,4810
853210,181
853229,13821
853230,144
853329,88
853400,8495
853510,2158
853590,15043
853610,6896
853620,204
853630,587
853641,1412
853649,4165
853650,3615
853661,8424
853669,17692
853670,144
853690,39535
853710,1642116
853720,98131
853810,417064
853890,8576
853910,1321
853921,22190
853929,7
853949,36
853950,53
854071,1688
854089,1704
854110,323
854160,3420
854231,1130
854239,398
854330,253188
854370,12715
854390,244480
854419,31
854420,2704
854430,12460
854442,27447
854449,51382
854460,3361
854470,22046
854720,19
854790,72
854810,402597
854890,4911
860729,108
860900,685862
870120,54332
870194,28041
870323,50710
870324,32203
870333,160824
870423,269378
870590,340484
870810,27176
870821,7
870829,8113
870830,10835
870840,5384
870870,10207
870880,775
870891,1755
870892,304
870894,277
870895,21109
870899,3152434
870990,7
871160,42265
871200,1091
871410,2203
871420,1086
871491,724
871492,398
871499,57
871610,2028
871639,713438
871680,1613
871690,60088
880212,766063
880310,103252
880320,85756
880330,6665596
880390,241090
880521,557
880529,1983
890392,53550
890399,59140
890400,239063
890590,4944392
890690,4966
890710,57208
890790,1448
900211,181
900220,60105
900290,443
900311,72
900319,846
900390,36
900410,287
900490,266686
900510,34606
900659,6592
900691,3779
900699,81
900710,12207
901010,1153
901090,196
901110,4521
901310,355343
901380,7216
901390,129
901410,1683
901420,442335
901480,249
901490,31164
901520,259
901580,1970686
901590,1375552
901710,115
901720,2254
901730,17997
901780,1370
901790,1253
901811,105
901812,36576
901813,36
901819,2930
901831,30
901839,166
901841,36
901849,5
901850,36
901890,143552
901910,2169
901920,3784214
902000,26032
902110,144
902121,11
902129,197
902139,237772
902140,173
902190,981
902219,32542
902230,25944
902290,9719
902300,703601
902410,362
902480,690868
902490,29500
902511,263
902519,26600
902580,54123
902590,322
902610,109399
902620,148336
902680,97978
902690,51977
902710,11261
902730,2919
902750,47254
902780,231911
902790,243058
902820,32
902830,4647
902890,554
902920,61749
903010,213014
903020,516
903031,1048
903032,28
903033,63794
903039,26243
903082,239
903089,9855
903090,72547
903110,123
903120,1436
903149,953
903180,413904
903190,688799
903210,39948
903281,532
903289,132697
903290,40595
903300,76391
910111,39
910121,64535
910229,724
910291,7574
910519,33
910521,270
910529,27
910690,59
910890,7
911390,20
920290,4419
920590,1811
920600,108
920999,181
940130,3165
940161,8132
940169,195
940179,5171
940180,4288
940190,1698
940210,144
940290,14745
940310,5516
940320,22154
940330,3162
940340,347
940350,9210
940360,3525
940370,134
940383,559
940389,3818
940410,5460
940429,896019
940430,3
940490,4064
940510,2395
940520,20
940540,77280
940560,1825
940592,515
940599,251
940690,9308
950300,40357
950440,499
950450,115
950490,47
950590,702
950631,869
950669,9
950691,4585
950699,25
950730,604
950890,57
960310,5571
960329,5
960340,78
960390,688
960610,21
960810,234
960820,10
960830,36
960860,2
960899,595
960910,13
960990,33
961519,26
961900,2739
970110,36
970190,796
970300,120
999999,1083988
